machine_id,machine_nom,machine_type,atelier,usine,timestamp,date,v_rms_mm_s,acceleration_g,crest_factor,kurtosis,rpm,zone_iso,health_index,rul_days,degradation_score,mtbf_heures,mttr_heures,disponibilite_pct,oee_pct,trs_pct,cout_maintenance_euros,type_defaut,severite_defaut,temperature_c,pression_bar,courant_A,nb_alertes,nb_demarrages,duree_fonctionnement_h,age_machine_jours
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-09 00:00:00,2025-10-09,4.07,11.82,1.71,1.72,8088,B,95.2,156,0.044,418.0,5.0,98.8,83.1,77.0,2906,Aucun - Etat acceptable,Faible,31.8,7.4,162.8,0,23,19739,505
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-09 00:00:00,2025-10-09,2.83,4.96,2.12,2.53,1505,B,94.0,165,0.046,399.0,5.9,98.5,82.1,80.7,2048,Aucun - Etat acceptable,Faible,29.2,6.5,33.4,0,3,7933,3043
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-09 03:00:00,2025-10-09,4.09,11.94,2.0,3.59,1477,B,86.3,155,0.122,394.0,8.0,98.0,95.6,92.3,1710,Aucun - Etat acceptable,Faible,33.7,4.4,30.7,1,4,1026,2778
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-09 04:00:00,2025-10-09,0.85,2.24,1.73,1.84,1512,A,93.5,164,0.058,415.0,3.5,99.2,90.6,88.6,339,Aucun - Etat nominal,Aucune,29.1,5.6,33.9,0,74,7896,2356
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-09 07:00:00,2025-10-09,2.76,7.54,1.66,2.83,1470,B,96.4,181,0.019,466.0,3.7,99.2,93.5,87.8,2388,Aucun - Etat acceptable,Faible,29.6,4.6,33.7,0,14,24542,562
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-09 10:00:00,2025-10-09,4.29,12.73,2.43,3.24,1462,B,85.3,157,0.15,,3.1,99.3,84.7,80.7,2809,Aucun - Etat acceptable,Faible,30.6,5.6,34.3,0,24,17607,2933
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-09 11:00:00,2025-10-09,2.22,3.28,1.67,2.88,1485,A,94.4,162,0.07,452.0,5.6,98.8,88.4,84.6,936,Aucun - Etat acceptable,Faible,30.2,6.2,30.3,1,39,11504,315
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-09 12:00:00,2025-10-09,0.76,1.69,1.71,1.97,1447,A,93.1,160,0.089,552.0,5.9,98.9,86.3,84.5,2629,Aucun - Etat nominal,Aucune,30.1,5.9,33.2,0,68,14415,1329
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-09 14:00:00,2025-10-09,3.6,3.87,2.09,2.75,8018,B,93.0,164,0.078,382.0,4.4,98.9,77.9,72.6,2730,Aucun - Etat acceptable,Faible,29.8,6.0,163.3,1,70,11387,2617
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-09 17:00:00,2025-10-09,1.94,6.14,1.52,2.19,1433,A,94.8,181,0.038,421.0,4.0,99.1,96.5,91.0,2950,Aucun - Etat acceptable,Faible,29.2,4.5,31.0,0,60,22277,2126
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-09 19:00:00,2025-10-09,4.98,13.95,1.86,3.31,1408,C,89.5,168,0.101,415.0,7.0,98.3,85.7,84.1,332,Aucun - Etat acceptable,Faible,33.4,7.6,31.7,2,45,20812,30
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-09 22:00:00,2025-10-09,1.13,2.55,1.75,2.96,1463,A,94.7,172,0.043,413.0,6.2,98.5,92.0,88.9,2682,Aucun - Etat nominal,Aucune,29.7,5.2,29.6,0,14,15176,1823
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-10 00:00:00,2025-10-10,1.97,4.62,1.87,2.96,1445,A,95.0,163,0.055,472.0,3.2,99.3,95.1,87.9,2085,Aucun - Etat acceptable,Faible,31.0,6.5,33.0,1,64,16470,3914
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-10 02:00:00,2025-10-10,3.92,9.27,2.24,3.17,1505,B,82.7,148,0.175,,7.2,98.3,87.1,81.5,1973,Aucun - Etat acceptable,Faible,32.6,7.2,33.3,0,47,15807,2071
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-10 04:00:00,2025-10-10,2.33,5.82,1.5,3.24,1472,B,97.4,163,0.01,463.0,4.6,99.0,74.4,70.5,275,Aucun - Etat acceptable,Faible,26.8,5.3,30.0,1,47,20883,1493
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-10 05:00:00,2025-10-10,1.3,2.55,1.66,2.5,1465,A,95.2,182,0.036,474.0,7.6,98.4,83.2,78.8,2459,Aucun - Etat nominal,Aucune,29.6,3.7,33.8,0,41,9115,3970
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-10 08:00:00,2025-10-10,4.32,9.7,1.34,1.76,8052,B,99.1,167,0.01,373.0,3.9,99.0,93.3,88.2,1527,Aucun - Etat acceptable,Faible,30.2,5.1,162.0,0,45,17566,1033
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-10 08:00:00,2025-10-10,2.21,4.84,1.95,2.41,1446,A,95.4,174,0.057,590.0,6.5,98.9,81.0,76.4,2959,Aucun - Etat acceptable,Faible,32.6,3.6,,2,10,27221,1738
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-10 12:00:00,2025-10-10,4.51,5.02,1.92,3.09,1460,C,84.2,142,0.139,395.0,6.7,98.3,84.8,79.8,1401,Aucun - Etat acceptable,Faible,32.3,5.3,31.3,1,74,13791,2838
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-10 14:00:00,2025-10-10,1.29,2.3,1.87,2.76,1499,A,93.9,168,0.081,455.0,2.8,99.4,74.6,72.0,2934,Aucun - Etat nominal,Aucune,29.8,4.4,33.1,1,21,4220,1779
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-10 16:00:00,2025-10-10,2.65,5.47,2.23,3.15,1464,B,93.0,154,0.059,417.0,2.6,99.4,91.4,89.4,2198,Aucun - Etat acceptable,Faible,31.3,3.6,29.3,3,34,11233,2780
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-10 18:00:00,2025-10-10,4.24,7.54,2.02,2.87,1463,B,85.5,143,0.153,,2.5,99.4,76.9,75.4,1239,Aucun - Etat acceptable,Faible,32.3,6.9,34.0,0,65,18681,1066
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-10 20:00:00,2025-10-10,1.91,5.5,1.32,2.12,1465,A,96.4,179,0.029,357.0,6.0,98.3,95.9,92.3,1226,Aucun - Etat acceptable,Faible,29.8,4.4,33.1,0,54,7990,2621
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-10 21:00:00,2025-10-10,1.25,2.92,1.74,1.5,1534,A,96.5,172,0.037,387.0,5.4,98.6,77.2,75.2,1639,Aucun - Etat nominal,Aucune,28.3,5.7,34.8,1,48,24942,1494
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-11 00:00:00,2025-10-11,3.56,9.53,2.01,3.3,8018,B,93.2,159,0.048,499.0,4.2,99.2,76.7,72.5,286,Aucun - Etat acceptable,Faible,28.7,6.7,,2,48,9189,2701
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-11 02:00:00,2025-10-11,2.33,4.03,1.63,3.21,1507,B,93.1,152,0.06,524.0,3.2,99.4,90.0,88.7,1886,Aucun - Etat acceptable,Faible,30.3,5.4,30.4,0,47,16006,2617
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-11 02:00:00,2025-10-11,4.47,4.76,2.42,3.3,1486,B,88.0,138,0.134,487.0,5.1,99.0,94.3,88.2,2818,Aucun - Etat acceptable,Faible,30.7,6.9,31.1,0,7,24614,1857
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-11 05:00:00,2025-10-11,0.89,1.94,1.7,3.0,1495,A,94.5,169,0.068,538.0,2.6,99.5,83.3,78.6,2155,Aucun - Etat nominal,Aucune,30.3,,33.6,0,11,4053,913
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-11 06:00:00,2025-10-11,2.27,7.06,2.41,2.61,1511,A,96.4,172,0.024,404.0,4.6,98.9,82.5,76.9,1909,Aucun - Etat acceptable,Faible,30.2,4.2,34.1,0,56,20893,2089
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-11 10:00:00,2025-10-11,4.88,11.82,2.65,3.63,1485,C,88.2,147,0.114,497.0,4.2,99.2,75.9,71.0,2807,Aucun - Etat acceptable,Faible,31.6,4.6,34.3,2,55,11647,1009
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-11 11:00:00,2025-10-11,3.03,6.5,1.6,2.81,1503,B,92.1,174,0.084,473.0,3.3,99.3,93.0,89.7,1156,Aucun - Etat acceptable,Faible,32.1,4.1,33.3,2,53,10715,1622
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-11 14:00:00,2025-10-11,0.97,2.95,1.69,1.71,1479,A,95.2,161,0.049,417.0,3.8,99.1,85.7,82.9,2650,Aucun - Etat nominal,Aucune,31.0,5.1,32.3,0,2,5885,1571
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-11 14:00:00,2025-10-11,3.81,11.27,1.55,2.7,8001,B,94.6,182,0.06,467.0,5.2,98.9,83.4,82.3,2643,Aucun - Etat acceptable,Faible,28.8,5.9,161.3,0,18,6902,2388
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-11 17:00:00,2025-10-11,2.22,5.99,1.81,2.51,1497,A,95.2,159,0.038,375.0,6.0,98.4,88.9,82.8,2951,Aucun - Etat acceptable,Faible,30.0,3.2,30.0,0,27,4809,3356
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-11 20:00:00,2025-10-11,4.95,13.56,2.08,2.35,1461,C,83.2,152,0.15,,3.2,99.4,81.2,77.0,816,Aucun - Etat acceptable,Faible,32.2,7.8,33.0,1,66,9971,2481
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-11 20:00:00,2025-10-11,0.4,1.27,1.67,3.12,1422,A,92.7,151,0.06,433.0,7.6,98.3,76.0,72.6,1214,Aucun - Etat nominal,Aucune,30.3,3.2,33.2,0,10,3671,976
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-11 22:00:00,2025-10-11,2.22,5.82,1.53,1.83,1474,A,93.2,155,0.081,456.0,3.6,99.2,80.2,75.4,261,Aucun - Etat acceptable,Faible,31.5,6.1,30.5,0,67,17454,2498
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-12 00:00:00,2025-10-12,5.15,8.22,1.95,3.55,1502,C,86.3,155,0.135,475.0,2.7,99.4,81.2,80.0,1012,Aucun - Etat acceptable,Faible,33.2,4.6,33.4,1,9,23718,1668
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-12 03:00:00,2025-10-12,1.97,3.64,1.62,2.02,1504,A,92.3,159,0.091,346.0,4.3,98.8,90.3,88.2,355,Aucun - Etat acceptable,Faible,29.0,3.4,31.8,1,15,27927,1075
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-12 04:00:00,2025-10-12,0.49,0.88,1.84,2.57,1427,A,93.4,174,0.056,366.0,5.8,98.4,80.5,78.1,2950,Aucun - Etat nominal,Aucune,33.0,3.5,33.2,1,38,2714,3299
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-12 06:00:00,2025-10-12,4.59,5.05,1.67,2.97,7963,C,95.9,176,0.06,476.0,6.5,98.7,86.8,85.6,214,Aucun - Etat acceptable,Faible,31.2,5.4,161.7,0,67,6833,398
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-12 10:00:00,2025-10-12,2.26,5.16,1.89,2.53,1567,A,94.4,161,0.038,560.0,5.3,99.1,90.7,88.9,674,Aucun - Etat acceptable,Faible,30.3,5.5,34.5,0,21,18066,342
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-12 10:00:00,2025-10-12,4.62,7.17,2.08,3.1,1460,C,85.0,128,0.152,389.0,4.4,98.9,88.3,83.3,2766,Aucun - Etat acceptable,Faible,,7.4,33.6,0,32,17233,3981
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-12 12:00:00,2025-10-12,0.4,0.68,2.17,2.58,1495,A,92.8,164,0.084,536.0,6.8,98.7,87.7,86.8,1965,Aucun - Etat nominal,Aucune,29.2,5.6,30.2,0,16,11361,547
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-12 15:00:00,2025-10-12,1.65,2.93,2.07,3.02,1424,A,96.9,170,0.014,473.0,6.6,98.6,88.3,84.6,2363,Aucun - Etat acceptable,Faible,33.7,6.2,31.5,0,28,2318,2307
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-12 18:00:00,2025-10-12,5.24,5.35,1.89,4.08,1503,C,85.6,155,0.151,537.0,6.4,98.8,88.0,82.9,249,Aucun - Etat acceptable,Faible,36.0,5.4,36.2,0,21,25985,2491
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-12 18:00:00,2025-10-12,1.84,4.25,1.99,2.42,1501,A,94.9,164,0.047,426.0,6.2,98.6,96.1,89.1,519,Aucun - Etat acceptable,Faible,30.6,5.5,31.7,1,24,4476,2456
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-12 20:00:00,2025-10-12,1.04,2.57,1.34,2.79,1446,A,96.9,188,0.035,337.0,6.2,98.2,75.5,74.5,1823,Aucun - Etat nominal,Aucune,29.6,4.2,30.3,1,64,1814,1941
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-13 00:00:00,2025-10-13,4.07,3.93,2.0,2.4,8107,B,90.3,163,0.112,509.0,6.0,98.8,93.0,88.8,1792,Aucun - Etat acceptable,Faible,29.6,7.3,162.5,1,10,8152,1258
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-13 01:00:00,2025-10-13,2.09,6.32,1.8,2.63,1468,A,91.5,149,0.102,388.0,3.1,99.2,86.2,84.0,2218,Aucun - Etat acceptable,Faible,31.3,5.9,31.6,1,11,12507,2360
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-13 03:00:00,2025-10-13,5.07,8.4,2.4,2.85,1459,C,81.4,143,0.204,381.0,5.3,98.6,95.3,93.5,1386,Aucun - Etat acceptable,Faible,30.9,7.7,31.0,1,40,27684,3527
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-13 06:00:00,2025-10-13,1.05,1.94,1.85,1.95,1490,A,97.0,172,0.026,482.0,5.2,98.9,83.9,81.5,746,Aucun - Etat nominal,Aucune,31.5,4.3,30.6,0,31,7881,528
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-13 07:00:00,2025-10-13,2.44,5.67,1.51,2.6,1459,B,97.0,165,0.012,367.0,3.7,99.0,96.1,92.6,1682,Aucun - Etat acceptable,Faible,29.2,4.7,33.0,1,39,23502,1031
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-13 08:00:00,2025-10-13,4.63,10.09,1.78,3.07,1537,C,83.4,148,0.174,493.0,3.6,99.3,83.4,82.0,1180,Aucun - Etat acceptable,Faible,33.8,7.3,35.6,0,28,4500,2056
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-13 11:00:00,2025-10-13,2.62,2.16,1.88,3.38,1491,B,94.2,169,0.046,426.0,5.4,98.7,85.6,83.7,578,Aucun - Etat acceptable,Faible,29.0,5.0,29.9,0,56,10247,2735
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-13 14:00:00,2025-10-13,0.47,0.92,1.6,2.79,1457,A,94.7,171,0.036,520.0,4.6,99.1,92.6,88.0,2133,Aucun - Etat nominal,Aucune,28.9,4.8,32.2,1,59,23187,2920
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-13 15:00:00,2025-10-13,3.73,11.3,2.13,2.3,7961,B,92.9,179,0.055,350.0,5.5,98.5,85.7,80.9,1653,Aucun - Etat acceptable,Faible,32.7,5.7,159.9,1,28,3418,612
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-13 16:00:00,2025-10-13,1.84,2.62,1.32,1.87,1539,A,93.9,174,0.066,474.0,3.4,99.3,85.3,82.8,203,Aucun - Etat acceptable,Faible,32.1,3.6,33.8,2,10,4078,1389
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-13 18:00:00,2025-10-13,4.34,4.87,1.56,2.08,1477,B,81.7,150,0.191,455.0,6.0,98.7,81.4,76.4,305,Aucun - Etat acceptable,Faible,33.0,5.8,32.5,2,52,26350,1260
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-13 22:00:00,2025-10-13,1.01,1.33,2.04,1.65,1472,A,93.1,166,0.071,437.0,2.7,99.4,89.8,84.6,2253,Aucun - Etat nominal,Aucune,30.1,5.1,31.6,1,7,3178,1235
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-13 22:00:00,2025-10-13,1.73,1.77,2.03,2.81,1449,A,95.5,175,0.061,432.0,2.6,99.4,76.4,72.0,2795,Aucun - Etat acceptable,Faible,31.6,,32.8,1,31,4639,1288
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-14 01:00:00,2025-10-14,5.61,12.39,2.42,3.2,1480,C,83.2,133,0.153,543.0,5.7,99.0,87.2,85.5,800,Aucun - Etat acceptable,Faible,32.8,,32.2,4,24,26413,1768
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-14 04:00:00,2025-10-14,2.63,4.38,1.86,2.83,1484,B,96.0,181,0.046,405.0,6.0,98.5,87.5,81.6,555,Aucun - Etat acceptable,Faible,29.3,4.9,33.0,1,19,5329,1165
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-14 04:00:00,2025-10-14,1.53,4.17,2.06,2.52,1496,A,100.1,177,0.01,432.0,7.1,98.4,88.3,81.7,1760,Aucun - Etat acceptable,Faible,27.4,2.9,30.1,0,29,21919,2417
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-14 08:00:00,2025-10-14,4.32,10.28,1.93,2.33,7983,B,94.6,175,0.066,413.0,6.3,98.5,87.5,84.3,1380,Aucun - Etat acceptable,Faible,29.0,7.1,160.0,0,52,6550,3369
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-14 08:00:00,2025-10-14,2.47,5.26,1.89,2.3,1521,B,95.2,173,0.039,373.0,3.1,99.2,78.2,72.8,2190,Aucun - Etat acceptable,Faible,29.9,4.2,34.4,0,7,14204,891
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-14 11:00:00,2025-10-14,4.95,8.19,1.99,3.23,1497,C,83.2,141,0.161,448.0,4.2,99.1,87.2,85.1,2650,Aucun - Etat acceptable,Faible,31.9,6.2,35.5,0,23,24706,1993
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-14 13:00:00,2025-10-14,1.09,1.9,2.11,2.0,1509,A,97.3,184,0.03,419.0,6.2,98.5,91.5,89.7,1444,Aucun - Etat nominal,Aucune,32.3,,30.3,0,76,14831,2278
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-14 16:00:00,2025-10-14,2.47,6.05,1.56,2.67,1470,B,94.5,161,0.053,420.0,3.6,99.2,96.1,89.6,1128,Aucun - Etat acceptable,Faible,30.5,5.8,32.0,1,38,14183,3894
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-14 16:00:00,2025-10-14,4.7,5.85,2.25,2.7,1458,C,81.0,140,0.194,424.0,5.7,98.7,86.7,82.0,2203,Aucun - Etat acceptable,Faible,35.1,5.6,31.2,2,61,17491,3446
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-14 20:00:00,2025-10-14,2.07,2.75,1.69,2.77,1488,A,94.2,173,0.053,403.0,5.5,98.7,78.6,73.9,1501,Aucun - Etat acceptable,Faible,28.7,6.3,30.0,0,7,1114,3575
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-14 22:00:00,2025-10-14,0.91,2.39,2.07,2.48,1443,A,91.1,155,0.106,365.0,4.6,98.8,90.2,86.0,1344,Aucun - Etat nominal,Aucune,,4.6,33.4,0,52,15606,2461
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-14 23:00:00,2025-10-14,3.23,5.98,1.71,2.64,7995,B,95.8,165,0.035,541.0,7.5,98.6,78.2,77.0,1441,Aucun - Etat acceptable,Faible,29.7,4.9,,0,10,25034,2940
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-15 00:00:00,2025-10-15,2.58,7.24,1.37,2.4,1498,B,92.8,169,0.073,400.0,6.8,98.3,79.0,74.6,966,Aucun - Etat acceptable,Faible,28.2,3.4,33.2,0,5,12210,2261
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-15 03:00:00,2025-10-15,4.59,10.5,2.19,4.44,1500,C,82.0,124,0.199,502.0,7.9,98.5,80.9,76.4,1869,Aucun - Etat acceptable,Faible,35.6,5.8,33.0,0,39,11648,2524
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-15 05:00:00,2025-10-15,0.82,1.54,1.89,1.68,1480,A,90.8,173,0.097,427.0,4.0,99.1,78.4,73.7,1368,Aucun - Etat nominal,Aucune,28.6,3.8,34.0,2,54,7311,158
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-15 07:00:00,2025-10-15,2.75,3.42,1.55,1.56,1486,B,91.6,154,0.092,496.0,5.7,98.9,83.0,78.4,1024,Aucun - Etat acceptable,Faible,32.1,4.6,33.4,2,22,25567,2016
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-15 09:00:00,2025-10-15,5.02,7.08,2.17,3.07,1485,C,81.7,146,0.203,411.0,3.7,99.1,75.9,73.0,509,Aucun - Etat acceptable,Faible,33.5,6.4,,0,71,6878,989
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-15 10:00:00,2025-10-15,2.19,3.97,1.59,2.88,1480,A,95.9,178,0.03,365.0,5.7,98.5,82.0,80.2,1382,Aucun - Etat acceptable,Faible,31.0,3.4,34.1,1,16,5424,2067
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-15 13:00:00,2025-10-15,0.99,2.95,1.71,1.86,1488,A,94.5,183,0.05,385.0,5.0,98.7,80.9,79.7,155,Aucun - Etat nominal,Aucune,29.2,,32.8,1,5,9701,2648
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-15 15:00:00,2025-10-15,4.14,8.89,1.7,2.59,7903,B,95.4,174,0.057,454.0,6.1,98.7,79.3,76.7,2319,Aucun - Etat acceptable,Faible,29.7,7.0,162.1,1,49,5984,2432
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-15 16:00:00,2025-10-15,2.97,3.92,2.39,2.73,1427,B,95.9,169,0.05,417.0,,99.3,81.7,80.7,2356,Aucun - Etat acceptable,Faible,30.3,5.7,30.6,1,68,17044,2810
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-15 20:00:00,2025-10-15,5.36,14.89,2.22,3.08,1516,C,80.6,131,0.179,450.0,4.9,98.9,79.9,76.6,606,Aucun - Etat acceptable,Faible,35.9,5.8,35.0,0,62,13922,3207
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-15 22:00:00,2025-10-15,1.19,1.62,2.13,2.73,1469,A,95.5,156,0.041,,6.8,98.7,80.1,79.2,1688,Aucun - Etat nominal,Aucune,26.5,3.7,30.4,0,46,14180,3148
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-16 00:00:00,2025-10-16,1.93,2.28,1.71,1.9,1491,A,94.5,179,0.063,514.0,2.8,99.5,78.3,73.9,1951,Aucun - Etat acceptable,Faible,29.2,3.8,30.0,2,63,3741,1629
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-16 01:00:00,2025-10-16,4.83,4.32,2.38,2.27,1519,C,80.5,122,0.207,425.0,4.2,99.0,79.9,77.4,1506,Aucun - Etat acceptable,Faible,33.4,4.6,34.9,2,45,21854,3077
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-16 02:00:00,2025-10-16,2.53,6.92,1.59,2.14,1476,B,96.8,187,0.037,389.0,4.3,98.9,89.3,87.6,1554,Aucun - Etat acceptable,Faible,28.5,4.8,31.2,0,45,22739,3888
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-16 04:00:00,2025-10-16,1.5,1.75,1.89,2.27,1459,A,97.3,175,0.014,344.0,7.1,98.0,86.7,81.8,2231,Aucun - Etat nominal,Aucune,30.8,3.7,33.6,1,18,14661,2659
M008,Turbine T-100,Turbine,Ventilation,Tanger,2025-10-16 08:00:00,2025-10-16,3.67,4.18,1.51,2.56,8012,B,95.7,167,0.037,378.0,2.9,99.2,97.0,90.3,2332,Aucun - Etat acceptable,Faible,31.3,4.2,161.1,0,34,11480,1906
M001,Compresseur Atlas C-1,Compresseur,Broyage,Casablanca,2025-10-16 08:00:00,2025-10-16,2.25,5.14,2.25,2.5,1543,A,95.2,166,0.039,452.0,3.2,99.3,76.7,73.8,455,Aucun - Etat acceptable,Faible,29.7,4.8,31.8,1,70,22689,1671
M002,Pompe hydraulique P-12,Pompe,Pomperie,Casablanca,2025-10-16 12:00:00,2025-10-16,4.45,14.01,2.44,3.47,1515,B,82.6,137,0.192,491.0,4.3,99.1,89.4,86.3,2500,Aucun - Etat acceptable,Faible,33.6,4.4,32.8,2,40,11201,3261
M003,Moteur electrique ME-45,Moteur,Convoyage,Casablanca,2025-10-16 13:00:00,2025-10-16,0.34,0.29,2.31,3.1,1494,A,95.1,157,0.046,523.0,5.5,99.0,78.2,73.6,1844,Aucun - Etat nominal,Aucune,29.4,5.0,32.8,0,23,21161,2699
M004,Ventilateur V-08,Ventilateur,Ventilation,Tanger,2025-10-16 15:00:00,2025-10-16,2.93,3.24,1.91,2.66,1483,B,95.3,168,0.039,564.0,7.5,98.7,92.0,89.0,313,Aucun - Etat acceptable,Faible,30.4,5.6,32.6,0,15,15834,994
M005,Reducteur R-22,Reducteur,Broyage,Tanger,2025-10-16 16:00:00,2025-10-16,5.28,13.46,2.7,3.83,1442,C,83.9,137,0.145,492.0,,98.6,94.8,91.5,2306,Aucun - Etat acceptable,Faible,,5.6,32.2,1,98,26160,505
M006,Compresseur C-201,Compresseur,Air comprime,Casablanca,2025-10-16 20:00:00,2025-10-16,2.46,2.51,2.2,2.61,1526,B,97.2,163,0.024,430.0,4.2,99.0,76.5,71.3,715,Aucun - Etat acceptable,Faible,29.7,4.8,33.2,2,64,21150,2135
M007,Pompe transfert PT-09,Pompe,Pomperie,Tanger,2025-10-16 20:00:00,2025-10-16,0.83,2.03,1.31,2.1,1468,A,96.8,185,0.016,469.0,5.6,98.8,79.9,78.0,392,Aucun - Etat nominal,Aucune,32.6,4.6,30.3,0,51,19342,2002
